 [До]: Эталонная таблица идентификаторов опкодов (кодов операций), начальное состояние

 00007FF77430F0EEh: <%204> = 203 | \hCB | \d203
 00007FF77430F0EEh: <%205> = 204 | \hCC | \d204
 00007FF77430F0EEh: <%206> = 205 | \hCD | \d205
 00007FF77430F0EEh: <%207> = 206 | \hCE | \d206
 00007FF77430F0EEh: <%208> = 207 | \hCF | \d207
 00007FF77430F0EEh: <%209> = 208 | \hD0 | \d208
 00007FF77430F0EEh: <%210> = 209 | \hD1 | \d209
 00007FF77430F0EEh: <%211> = 210 | \hD2 | \d210
 00007FF77430F0EEh: <%212> = 211 | \hD3 | \d211
 00007FF77430F0EEh: <%213> = 212 | \hD4 | \d212
 00007FF77430F0EEh: <%214> = 213 | \hD5 | \d213
 00007FF77430F0EEh: <%215> = 214 | \hD6 | \d214
 00007FF77430F0EEh: <%216> = 215 | \hD7 | \d215
 00007FF77430F0EEh: <%217> = 216 | \hD8 | \d216
 00007FF77430F0EEh: <%218> = 217 | \hD9 | \d217
 00007FF77430F0EEh: <%219> = 218 | \hDA | \d218
 00007FF77430F0EEh: <%220> = 219 | \hDB | \d219
 00007FF77430F0EEh: <%221> = 220 | \hDC | \d220
 00007FF77430F0EEh: <%222> = 221 | \hDD | \d221
 00007FF77430F0EEh: <%223> = 222 | \hDE | \d222
 00007FF77430F0EEh: <%224> = 223 | \hDF | \d223
 00007FF77430F0EEh: <%225> = 224 | \hE0 | \d224
 00007FF77430F0EEh: <%226> = 225 | \hE1 | \d225
 00007FF77430F0EEh: <%227> = 226 | \hE2 | \d226
 00007FF77430F0EEh: <%228> = 227 | \hE3 | \d227
 00007FF77430F0EEh: <%229> = 228 | \hE4 | \d228
 00007FF77430F0EEh: <%230> = 229 | \hE5 | \d229
 00007FF77430F0EEh: <%231> = 230 | \hE6 | \d230
 00007FF77430F0EEh: <%232> = 231 | \hE7 | \d231
 00007FF77430F0EEh: <%233> = 232 | \hE8 | \d232
 00007FF77430F0EEh: <%234> = 233 | \hE9 | \d233
 00007FF77430F0EEh: <%235> = 234 | \hEA | \d234
 00007FF77430F0EEh: <%236> = 235 | \hEB | \d235
 00007FF77430F0EEh: <%237> = 236 | \hEC | \d236
 00007FF77430F0EEh: <%238> = 237 | \hED | \d237
 00007FF77430F0EEh: <%239> = 238 | \hEE | \d238
 00007FF77430F0EEh: <%240> = 239 | \hEF | \d239
 00007FF77430F0EEh: <%241> = 240 | \hF0 | \d240
 00007FF77430F0EEh: <%242> = 241 | \hF1 | \d241
 00007FF77430F0EEh: <%243> = 242 | \hF2 | \d242
 00007FF77430F0EEh: <%244> = 243 | \hF3 | \d243
 00007FF77430F0EEh: <%245> = 244 | \hF4 | \d244
 00007FF77430F0EEh: <%246> = 245 | \hF5 | \d245
 00007FF77430F0EEh: <%247> = 246 | \hF6 | \d246
 00007FF77430F0EEh: <%248> = 247 | \hF7 | \d247
 00007FF77430F0EEh: <%249> = 248 | \hF8 | \d248
 00007FF77430F0EEh: <%250> = 249 | \hF9 | \d249
 00007FF77430F0EEh: <%251> = 250 | \hFA | \d250
 00007FF77430F0EEh: <%252> = 251 | \hFB | \d251
 00007FF77430F0EEh: <%253> = 252 | \hFC | \d252
 00007FF77430F0EEh: <%254> = 253 | \hFD | \d253
 00007FF774313EB4h: <%255> = 254 | \hFE | \d254
 00007FF77431BC1Ch: <%256> = 255 | \hFF | \d255


 [До пермутации]:

 00007FF7742E22BFh, <%1> = 0 | 00h | 000d
 00007FF7742E32A4h, <%2> = 1 | 01h | 001d
 00007FF7742E4297h, <%3> = 2 | 02h | 002d
 00007FF7742E527Ah, <%4> = 3 | 03h | 003d
 00007FF7742E626Dh, <%5> = 4 | 04h | 004d
 00007FF7742E7259h, <%6> = 5 | 05h | 005d
 00007FF7742E8255h, <%7> = 6 | 06h | 006d
 00007FF7742E9250h, <%8> = 7 | 07h | 007d
 00007FF7742EA25Bh, <%9> = 8 | 08h | 008d
 00007FF7742EB266h, <%10> = 9 | 09h | 009d
 00007FF7742EC22Fh, <%11> = 10 | 0Ah | 010d
 00007FF7742ED208h, <%12> = 11 | 0Bh | 011d
 00007FF7742EE1F1h, <%13> = 12 | 0Ch | 012d
 00007FF7742EF1CAh, <%14> = 13 | 0Dh | 013d
 00007FF7742F01B3h, <%15> = 14 | 0Eh | 014d
 00007FF7742F119Fh, <%16> = 15 | 0Fh | 015d
 00007FF7742F219Bh, <%17> = 16 | 10h | 016d
 00007FF7742F3196h, <%18> = 17 | 11h | 017d
 00007FF7742F41A1h, <%19> = 18 | 12h | 018d
 00007FF7742F51ACh, <%20> = 19 | 13h | 019d
 00007FF7742F61C0h, <%21> = 20 | 14h | 020d
 00007FF7742F71D6h, <%22> = 21 | 15h | 021d
 00007FF7742F81F0h, <%23> = 22 | 16h | 022d
 00007FF7742F920Ah, <%24> = 23 | 17h | 023d
 00007FF7742FA1F5h, <%25> = 24 | 18h | 024d
 00007FF7742FB1F0h, <%26> = 25 | 19h | 025d
 00007FF7742FC1FBh, <%27> = 26 | 1Ah | 026d
 00007FF7742FD1C1h, <%28> = 27 | 1Bh | 027d
 00007FF7742FE1A6h, <%29> = 28 | 1Ch | 028d
 00007FF7742FF19Bh, <%30> = 29 | 1Dh | 029d
 00007FF7743001A0h, <%31> = 30 | 1Eh | 030d
 00007FF77430118Fh, <%32> = 31 | 1Fh | 031d
 00007FF77430218Eh, <%33> = 32 | 20h | 032d
 00007FF7743031B6h, <%34> = 33 | 21h | 033d
 00007FF7743041EEh, <%35> = 34 | 22h | 034d
 00007FF774305226h, <%36> = 35 | 23h | 035d
 00007FF77430626Eh, <%37> = 36 | 24h | 036d
 00007FF774307230h, <%38> = 37 | 25h | 037d
 00007FF774308202h, <%39> = 38 | 26h | 038d
 00007FF7743091E4h, <%40> = 39 | 27h | 039d
 00007FF77430A1B8h, <%41> = 40 | 28h | 040d
 00007FF77430B18Ch, <%42> = 41 | 29h | 041d
 00007FF77430C160h, <%43> = 42 | 2Ah | 042d
 00007FF77430D134h, <%44> = 43 | 2Bh | 043d
 00007FF77430E111h, <%45> = 44 | 2Ch | 044d
 00007FF77430F0EEh, <%46> = 45 | 2Dh | 045d
 00007FF77430F0EEh, <%47> = 46 | 2Eh | 046d
 00007FF77430F0EEh, <%48> = 47 | 2Fh | 047d
 00007FF77430F0EEh, <%49> = 48 | 30h | 048d
 00007FF77430F0EEh, <%50> = 49 | 31h | 049d
 00007FF77430F0EEh, <%51> = 50 | 32h | 050d
 00007FF77430F0EEh, <%52> = 51 | 33h | 051d
 00007FF77430F0EEh, <%53> = 52 | 34h | 052d
 00007FF77430F0EEh, <%54> = 53 | 35h | 053d
 00007FF77430F0EEh, <%55> = 54 | 36h | 054d
 00007FF77430F0EEh, <%56> = 55 | 37h | 055d
 00007FF77430F0EEh, <%57> = 56 | 38h | 056d
 00007FF77430F0EEh, <%58> = 57 | 39h | 057d
 00007FF77430F0EEh, <%59> = 58 | 3Ah | 058d
 00007FF77430F0EEh, <%60> = 59 | 3Bh | 059d
 00007FF77430F0EEh, <%61> = 60 | 3Ch | 060d
 00007FF77430F0EEh, <%62> = 61 | 3Dh | 061d
 00007FF77430F0EEh, <%63> = 62 | 3Eh | 062d
 00007FF77430F0EEh, <%64> = 63 | 3Fh | 063d
 00007FF77430F0EEh, <%65> = 64 | 40h | 064d
 00007FF77430F0EEh, <%66> = 65 | 41h | 065d
 00007FF77430F0EEh, <%67> = 66 | 42h | 066d
 00007FF77430F0EEh, <%68> = 67 | 43h | 067d
 00007FF77430F0EEh, <%69> = 68 | 44h | 068d
 00007FF77430F0EEh, <%70> = 69 | 45h | 069d
 00007FF77430F0EEh, <%71> = 70 | 46h | 070d
 00007FF77430F0EEh, <%72> = 71 | 47h | 071d
 00007FF77430F0EEh, <%73> = 72 | 48h | 072d
 00007FF77430F0EEh, <%74> = 73 | 49h | 073d
 00007FF77430F0EEh, <%75> = 74 | 4Ah | 074d
 00007FF77430F0EEh, <%76> = 75 | 4Bh | 075d
 00007FF77430F0EEh, <%77> = 76 | 4Ch | 076d
 00007FF77430F0EEh, <%78> = 77 | 4Dh | 077d
 00007FF77430F0EEh, <%79> = 78 | 4Eh | 078d
 00007FF77430F0EEh, <%80> = 79 | 4Fh | 079d
 00007FF77430F0EEh, <%81> = 80 | 50h | 080d
 00007FF77430F0EEh, <%82> = 81 | 51h | 081d
 00007FF77430F0EEh, <%83> = 82 | 52h | 082d
 00007FF77430F0EEh, <%84> = 83 | 53h | 083d
 00007FF77430F0EEh, <%85> = 84 | 54h | 084d
 00007FF77430F0EEh, <%86> = 85 | 55h | 085d
 00007FF77430F0EEh, <%87> = 86 | 56h | 086d
 00007FF77430F0EEh, <%88> = 87 | 57h | 087d
 00007FF77430F0EEh, <%89> = 88 | 58h | 088d
 00007FF77430F0EEh, <%90> = 89 | 59h | 089d
 00007FF77430F0EEh, <%91> = 90 | 5Ah | 090d
 00007FF77430F0EEh, <%92> = 91 | 5Bh | 091d
 00007FF77430F0EEh, <%93> = 92 | 5Ch | 092d
 00007FF77430F0EEh, <%94> = 93 | 5Dh | 093d
 00007FF77430F0EEh, <%95> = 94 | 5Eh | 094d
 00007FF77430F0EEh, <%96> = 95 | 5Fh | 095d
 00007FF77430F0EEh, <%97> = 96 | 60h | 096d
 00007FF77430F0EEh, <%98> = 97 | 61h | 097d
 00007FF77430F0EEh, <%99> = 98 | 62h | 098d
 00007FF77430F0EEh, <%100> = 99 | 63h | 099d
 00007FF77430F0EEh, <%101> = 100 | 64h | 100d
 00007FF77430F0EEh, <%102> = 101 | 65h | 101d
 00007FF77430F0EEh, <%103> = 102 | 66h | 102d
 00007FF77430F0EEh, <%104> = 103 | 67h | 103d
 00007FF77430F0EEh, <%105> = 104 | 68h | 104d
 00007FF77430F0EEh, <%106> = 105 | 69h | 105d
 00007FF77430F0EEh, <%107> = 106 | 6Ah | 106d
 00007FF77430F0EEh, <%108> = 107 | 6Bh | 107d
 00007FF77430F0EEh, <%109> = 108 | 6Ch | 108d
 00007FF77430F0EEh, <%110> = 109 | 6Dh | 109d
 00007FF77430F0EEh, <%111> = 110 | 6Eh | 110d
 00007FF77430F0EEh, <%112> = 111 | 6Fh | 111d
 00007FF77430F0EEh, <%113> = 112 | 70h | 112d
 00007FF77430F0EEh, <%114> = 113 | 71h | 113d
 00007FF77430F0EEh, <%115> = 114 | 72h | 114d
 00007FF77430F0EEh, <%116> = 115 | 73h | 115d
 00007FF77430F0EEh, <%117> = 116 | 74h | 116d
